#c=0.000100, alpha=0.900000, tmin=0.000000, tmax=5.000000, N_t=100000, epsilonIntegral=0.000001, epsilonBinning=0.000001, dim=2, initialEnsemble: { (100000, (0.707107+0.000000i, 0.500000+0.500000i)) }
795.774715
0.44005 0.0000 0206 0.009369 -0.005446 0.003528 0.4997379+0.0000000i -0.1990063+0.4578970i -0.1990063-0.4578970i 0.5002621-0.0000000i 0.4997190+0.0000000i -0.1990032+0.4578980i -0.1990032-0.4578980i 0.5002810-0.0000000i 
0.44505 0.0000 0212 0.009281 -0.005557 0.003547 0.4997345+0.0000000i -0.2133070+0.4514126i -0.2133070-0.4514126i 0.5002655+0.0000000i 0.4997123+0.0000000i -0.2133052+0.4514098i -0.2133052-0.4514098i 0.5002877-0.0000000i 
0.45005 0.0000 0216 0.009189 -0.005667 0.003564 0.4997240+0.0000000i -0.2273989+0.4444741i -0.2273989-0.4444741i 0.5002760+0.0000000i 0.4997057+0.0000000i -0.2273958+0.4444755i -0.2273958-0.4444755i 0.5002943-0.0000000i 
0.45505 0.0000 0218 0.009095 -0.005776 0.003579 0.4997208+0.0000000i -0.2412636+0.4371034i -0.2412636-0.4371034i 0.5002792+0.0000000i 0.4996994+0.0000000i -0.2412613+0.4371018i -0.2412613-0.4371018i 0.5003006-0.0000000i 
0.46005 0.0000 0219 0.008998 -0.005884 0.003593 0.4997140+0.0000000i -0.2548903+0.4292969i -0.2548903-0.4292969i 0.5002860+0.0000000i 0.4996933+0.0000000i -0.2548878+0.4292961i -0.2548878-0.4292961i 0.5003067-0.0000000i 
0.46505 0.0000 0221 0.008899 -0.005991 0.003606 0.4997111+0.0000000i -0.2682641+0.4210692i -0.2682641-0.4210692i 0.5002889+0.0000000i 0.4996875+0.0000000i -0.2682619+0.4210660i -0.2682619-0.4210660i 0.5003125-0.0000000i 
0.47005 0.0000 0223 0.008797 -0.006097 0.003617 0.4997083+0.0000000i -0.2813727+0.4124250i -0.2813727-0.4124250i 0.5002917+0.0000000i 0.4996820+0.0000000i -0.2813705+0.4124196i -0.2813705-0.4124196i 0.5003180-0.0000000i 
0.47505 0.0000 0224 0.008692 -0.006201 0.003626 0.4997017+0.0000000i -0.2942028+0.4033699i -0.2942028-0.4033699i 0.5002983+0.0000000i 0.4996768+0.0000000i -0.2942005+0.4033656i -0.2942005-0.4033656i 0.5003232-0.0000000i 
0.48005 0.0000 0226 0.008586 -0.006304 0.003633 0.4997074+0.0000000i -0.3067430+0.3939239i -0.3067430-0.3939239i 0.5002926+0.0000000i 0.4996719+0.0000000i -0.3067394+0.3939128i -0.3067394-0.3939128i 0.5003281-0.0000000i 
0.48505 0.0000 0232 0.008477 -0.006405 0.003639 0.4996968+0.0000000i -0.3189777+0.3840778i -0.3189777-0.3840778i 0.5003032+0.0000000i 0.4996674+0.0000000i -0.3189747+0.3840705i -0.3189747-0.3840705i 0.5003326-0.0000000i 
